stock_code,sector_name,sector_source,verified_on
ABBEYBDS,Financial Services,NGX Pulse,2026-06-01
ABCTRANS,Consumer Services,NGX Pulse,2026-06-01
ACADEMY,Consumer Goods,NGX Pulse,2026-06-01
ACCESSCORP,Financial Services,NGX Pulse,2026-06-01
AFRINSURE,Financial Services,NGX Pulse,2026-06-01
AFRIPRUD,Financial Services,NGX Pulse,2026-06-01
AFROMEDIA,Services,NGX Pulse,2026-06-01
AIICO,Financial Services,NGX Pulse,2026-06-01
AIRTELAFRI,Telecommunications,NGX Pulse,2026-06-01
ALEX,Industrial Goods,NGX Pulse,2026-06-01
ARADEL,Oil And Gas,NGX Pulse,2026-06-01
AUSTINLAZ,Industrial Goods,NGX Pulse,2026-06-01
AVAIF,Construction/Real Estate,NGX Pulse,2026-06-01
BAPLC,ICT,NGX Pulse,2026-06-01
BERGER,Industrial Goods,NGX Pulse,2026-06-01
BETAGLAS,Industrial Goods,NGX Pulse,2026-06-01
BUACEMENT,Industrial Goods,NGX Pulse,2026-06-01
BUAFOODS,Consumer Goods,NGX Pulse,2026-06-01
CADBURY,Consumer Goods,NGX Pulse,2026-06-01
CAP,Industrial Goods,NGX Pulse,2026-06-01
CAVERTON,Services,NGX Pulse,2026-06-01
CHAMPION,Consumer Goods,NGX Pulse,2026-06-01
CHAMS,ICT,NGX Pulse,2026-06-01
CHELLARAM,Consumer Goods,NGX Pulse,2026-06-01
CILEASING,Services,NGX Pulse,2026-06-01
CNIF,Construction/Real Estate,NGX Pulse,2026-06-01
CONHALLPLC,Financial Services,NGX Pulse,2026-06-01
CONOIL,Oil And Gas,NGX Pulse,2026-06-01
CORNERST,Financial Services,NGX Pulse,2026-06-01
CUSTODIAN,Financial Services,NGX Pulse,2026-06-01
CUTIX,Industrial Goods,NGX Pulse,2026-06-01
CWG,ICT,NGX Pulse,2026-06-01
DAARCOMM,Consumer Services,NGX Pulse,2026-06-01
DANGCEM,Industrial Goods,NGX Pulse,2026-06-01
DANGSUGAR,Consumer Goods,NGX Pulse,2026-06-01
DEAPCAP,Financial Services,NGX Pulse,2026-06-01
DUNLOP,Industrial Goods,Legacy Local Mapping,2026-06-01
EKOCORP,Health Care,NGX Pulse,2026-06-01
ELLAHLAKES,Agriculture,NGX Pulse,2026-06-01
ENAMELWA,Industrial Goods,NGX Pulse,2026-06-01
ETERNA,Oil And Gas,NGX Pulse,2026-06-01
ETI,Financial Services,NGX Pulse,2026-06-01
ETRANZACT,ICT,NGX Pulse,2026-06-01
EUNISELL,Consumer Goods,NGX Pulse,2026-06-01
FCMB,Financial Services,NGX Pulse,2026-06-01
FIDELITYBK,Financial Services,NGX Pulse,2026-06-01
FIDSON,Health Care,NGX Pulse,2026-06-01
FIRSTHOLDCO,Financial Services,NGX Pulse,2026-06-01
FTGINSURE,Financial Services,NGX Pulse,2026-06-01
FTNCOCOA,Consumer Goods,NGX Pulse,2026-06-01
GEREGU,Utilities,NGX Pulse,2026-06-01
GOLDBREW,Consumer Goods,NGX Pulse,2026-06-01
GTCO,Financial Services,NGX Pulse,2026-06-01
GUINEAINS,Financial Services,NGX Pulse,2026-06-01
GUINNESS,Consumer Goods,NGX Pulse,2026-06-01
HMCALL,Construction/Real Estate,NGX Pulse,2026-06-01
HONYFLOUR,Consumer Goods,NGX Pulse,2026-06-01
IKEJAHOTEL,Consumer Services,NGX Pulse,2026-06-01
IMG,Industrial Goods,NGX Pulse,2026-06-01
INFINITY,Financial Services,NGX Pulse,2026-06-01
INTBREW,Consumer Goods,NGX Pulse,2026-06-01
INTENEGINS,Financial Services,NGX Pulse,2026-06-01
